LSOA21CD,LSOA21NM,LSOA21NMW,ObjectId
E01011264,Leeds 011A,,10697
E01011265,Leeds 009A,,10727
E01011266,Leeds 008A,,10728
E01011267,Leeds 009B,,10729
E01011268,Leeds 010A,,10730
E01011269,Leeds 011B,,10731
E01011270,Leeds 008B,,10732
E01011271,Leeds 009C,,10733
E01011272,Leeds 009D,,10734
E01011273,Leeds 010B,,10735
E01011274,Leeds 010C,,10736
E01011275,Leeds 010D,,10737
E01011276,Leeds 011C,,10738
E01011277,Leeds 014A,,10739
E01011278,Leeds 014B,,10740
E01011279,Leeds 008C,,10741
E01011280,Leeds 008D,,10742
E01011281,Leeds 059A,,10743
E01011282,Leeds 059B,,10744
E01011283,Leeds 059C,,10745
E01011284,Leeds 071A,,10746
E01011286,Leeds 059D,,10747
E01011287,Leeds 067B,,10748
E01011292,Leeds 071B,,10749
E01011293,Leeds 071C,,10750
E01011294,Leeds 071D,,10751
E01011295,Leeds 059E,,10753
E01011296,Leeds 030A,,10757
E01011297,Leeds 030B,,10761
E01011298,Leeds 088A,,10764
E01011299,Leeds 088B,,10767
E01011300,Leeds 089A,,10502
E01011301,Leeds 089B,,10538
E01011302,Leeds 088C,,10544
E01011303,Leeds 088D,,10550
E01011304,Leeds 089C,,10556
E01011305,Leeds 089D,,10562
E01011306,Leeds 089E,,10568
E01011307,Leeds 103A,,10574
E01011308,Leeds 103B,,10580
E01011309,Leeds 030C,,10586
E01011310,Leeds 030D,,10592
E01011311,Leeds 022A,,10593
E01011312,Leeds 086A,,10594
E01011313,Leeds 091A,,10595
E01011314,Leeds 091B,,10596
E01011315,Leeds 090A,,10597
E01011316,Leeds 086B,,10598
E01011317,Leeds 090B,,10599
E01011318,Leeds 090C,,10600
E01011319,Leeds 091C,,10601
E01011320,Leeds 091D,,10602
E01011321,Leeds 090D,,10603
E01011322,Leeds 091E,,10604
E01011323,Leeds 051A,,10605
E01011324,Leeds 046A,,10606
E01011325,Leeds 046B,,10607
E01011326,Leeds 046C,,10608
E01011327,Leeds 052A,,10609
E01011328,Leeds 052B,,10610
E01011329,Leeds 051B,,10611
E01011330,Leeds 051C,,10612
E01011331,Leeds 058A,,10613
E01011332,Leeds 046D,,10614
E01011333,Leeds 051D,,10615
E01011334,Leeds 058B,,10616
